fila,cantidad_0s
510,2
767,1
894,2
983,1
991,1
999,1
1007,1
1013,1
1015,1
1019,5
1151,1
1278,2
1391,1
1406,2
1519,1
1534,2
1599,1
1647,1
1662,2
1727,1
1775,1
1781,1
1783,1
1789,3
1855,1
1877,1
1879,1
1885,1
1887,1
1895,1
1901,3
1909,1
1911,1
1917,3
1951,1
1967,1
1983,1
1989,1
1991,1
1997,1
1999,1
2003,1
2005,1
2007,1
2009,1
2011,1
2013,3
2019,1
2021,1
2023,1
2025,1
2027,1
2029,3
2033,1
2035,1
2037,3
2041,7
2430,2
2527,1
2551,1
2558,2
2775,1
2783,1
2791,1
2799,1
2805,1
2807,1
2813,1
2815,1
2887,1
2895,1
2901,1
2903,1
2909,1
2911,1
2917,1
2919,1
2925,1
2927,1
2933,1
2935,1
2941,3
2975,1
2991,1
2999,1
3005,1
3007,1
3013,1
3015,1
3019,1
3021,1
3023,1
3025,1
3027,1
3029,1
3031,1
3033,1
3035,1
3037,3
3041,1
3043,1
3045,1
3047,1
3049,1
3051,1
3053,3
3057,1
3059,5
3065,1
3067,5
3135,1
3183,1
3198,2
3263,1
3310,2
3326,2
3390,2
3423,1
3438,2
3445,1
3447,1
3453,3
3518,2
3525,1
3527,1
3533,1
3535,1
3541,1
3543,1
3549,3
3557,1
3559,1
3565,3
3571,1
3573,3
3577,1
3579,1
3581,3
3631,1
3646,2
3671,1
3677,1
3679,1
3687,1
3693,3
3701,1
3703,1
3709,3
3743,1
3759,1
3774,2
3781,1
3783,1
3789,1
3791,1
3795,1
3797,1
3799,1
3801,1
3803,1
3805,1
3807,1
3811,1
3813,1
3815,1
3817,1
3819,1
3821,3
3825,1
3827,1
3829,3
3833,1
3835,5
3871,1
3887,1
3893,1
3895,1
3901,3
3907,1
3909,1
3911,1
3913,1
3915,1
3917,1
3919,1
3921,1
3923,1
3925,3
3929,1
3931,5
3937,1
3939,1
3941,3
3945,1
3947,5
3953,1
3955,5
3961,1
3963,5
3973,1
3975,1
3981,1
3983,1
3989,1
3991,1
3995,1
3997,3
4005,1
4007,1
4013,1
4015,1
4017,1
4019,1
4021,1
4023,1
4025,1
4027,1
4029,3
4033,1
4035,5
4041,1
4043,5
4049,7
4057,7
4065,7
4073,23
4207,1
4222,2
4335,1
4350,2
4415,1
4463,1
4478,2
4543,1
4567,1
4573,1
4575,1
4583,1
4591,1
4597,1
4599,1
4605,3
4671,1
4718,2
4734,2
4799,1
4807,1
4815,1
4821,1
4823,1
4829,1
4831,1
4837,1
4839,1
4845,3
4853,1
4855,1
4859,5
4911,1
4926,2
4933,1
4935,1
4941,1
4943,1
4949,1
4951,1
4957,1
4959,1
4965,1
4967,1
4973,3
4979,1
4981,1
4983,1
4985,1
4987,1
4989,3
5015,1
5021,1
5023,1
5031,1
5037,1
5039,1
5045,1
5047,1
5053,3
5057,1
5059,1
5061,1
5063,1
5065,1
5067,1
5069,3
5073,1
5075,5
5081,1
5083,5
5089,1
5091,5
5097,1
5099,5
5105,1
5107,13
5151,1
5166,2
5182,2
5199,1
5214,2
5230,2
5238,2
5243,1
5245,3
5279,1
5294,2
5310,2
5327,1
5342,2
5358,2
5365,3
5371,5
5406,2
5422,2
5431,1
5438,2
5454,2
5461,1
5463,1
5469,3
5477,1
5479,1
5483,1
5485,3
5493,3
5498,6
5534,2
5550,2
5559,1
5566,2
5573,1
5575,1
5581,3
5587,1
5589,1
5591,1
5593,1
5595,1
5597,3
5603,1
5605,1
5607,1
5609,1
5611,1
5613,3
5617,1
5619,1
5621,3
5625,7
5647,1
5662,2
5678,2
5687,1
5691,1
5693,3
5701,1
5703,1
5709,3
5717,1
5719,1
5725,3
5733,1
5735,1
5739,1
5741,3
5749,3
5754,6
5775,1
5783,1
5790,2
5806,2
5813,1
5815,1
5819,1
5821,3
5827,1
5829,1
5831,1
5833,1
5835,1
5837,3
5841,1
5843,1
5845,3
5849,1
5851,5
5857,1
5859,1
5861,3
5865,1
5867,5
5873,1
5875,5
5881,7
5903,1
5909,1
5911,1
5917,3
5925,1
5927,1
5933,3
5941,1
5943,1
5947,1
5949,3
5953,1
5955,1
5957,3
5961,1
5963,5
5969,1
5971,5
5977,1
5979,5
5985,1
5987,5
5993,7
6001,1
6003,5
6009,7
6021,1
6023,1
6027,1
6029,1
6031,1
6033,1
6035,1
6037,1
6039,1
6041,1
6043,1
6045,3
6049,1
6051,1
6053,1
6055,1
6057,1
6059,1
6061,3
6065,1
6067,5
6073,1
6075,5
6081,7
6089,55
6206,2
6254,2
6270,2
6334,2
6359,1
6367,1
6375,1
6382,2
6389,1
6391,1
6397,3
6447,1
6462,2
6471,1
6479,1
6485,1
6487,1
6493,1
6495,1
6501,1
6503,1
6509,3
6517,1
6519,1
6525,3
6575,1
6583,1
6589,3
6597,1
6599,1
6603,1
6605,1
6607,1
6609,1
6611,1
6613,1
6615,1
6617,1
6619,1
6621,3
6625,1
6627,1
6629,1
6631,1
6633,1
6635,1
6637,3
6641,1
6643,5
6649,1
6651,5
6703,1
6718,2
6725,1
6727,1
6733,1
6735,1
6741,1
6743,1
6749,1
6751,1
6757,1
6759,1
6765,3
6771,1
6773,1
6775,1
6777,1
6779,1
6781,3
6807,1
6813,1
6815,1
6823,1
6829,1
6831,1
6837,1
6839,1
6845,3
6849,1
6851,1
6853,1
6855,1
6857,1
6859,1
6861,3
6865,1
6867,5
6873,1
6875,5
6881,1
6883,5
6889,1
6891,5
6897,1
6899,5
6905,1
6907,5
6919,1
6925,1
6927,1
6933,1
6935,1
6941,1
6943,1
6949,1
6951,1
6957,3
6965,1
6967,1
6973,3
6977,1
6979,5
6985,1
6987,5
6993,1
6995,5
7001,1
7003,5
7009,1
7011,5
7017,1
7019,5
7025,7
7033,7
7043,1
7045,1
7047,1
7051,1
7053,1
7055,1
7057,1
7059,1
7061,3
7065,1
7067,1
7069,3
7073,1
7075,1
7077,3
7081,1
7083,1
7085,3
7089,1
7091,5
7097,1
7099,5
7105,63
7183,1
7198,2
7214,2
7223,1
7227,1
7229,3
7246,2
7253,1
7255,1
7261,3
7269,3
7275,1
7277,3
7285,3
7290,6
7311,1
7326,2
7342,2
7351,1
7355,1
7357,3
7365,1
7367,1
7373,3
7379,1
7381,1
7383,1
7385,1
7387,1
7389,3
7395,1
7397,3
7401,1
7403,5
7409,1
7411,1
7413,3
7417,7
7438,2
7447,1
7454,2
7463,1
7470,2
7477,3
7482,6
7491,1
7493,1
7495,1
7497,1
7499,1
7501,3
7505,1
7507,1
7509,3
7513,1
7515,5
7521,1
7523,1
7525,3
7529,7
7537,1
7539,5
7545,7
7557,1
7559,1
7565,3
7573,1
7575,1
7579,1
7581,3
7589,1
7591,1
7595,1
7597,3
7601,1
7603,1
7605,3
7609,7
7617,1
7619,5
7625,1
7627,5
7633,7
7641,7
7649,7
7657,23
7694,2
7701,1
7703,1
7709,3
7717,1
7719,1
7723,1
7725,3
7733,3
7738,6
7745,1
7747,1
7749,3
7753,1
7755,5
7761,1
7763,5
7769,1
7771,5
7777,1
7779,5
7785,7
7793,1
7795,5
7801,7
7813,1
7815,1
7819,1
7821,3
7825,1
7827,1
7829,1
7831,1
7833,1
7835,1
7837,3
7841,1
7843,1
7845,1
7847,1
7849,1
7851,1
7853,3
7857,1
7859,5
7865,7
7873,7
7881,55
7937,1
7939,1
7941,1
7943,1
7945,1
7947,1
7949,3
7953,1
7955,5
7961,1
7963,5
7969,1
7971,5
7977,1
7979,5
7985,1
7987,5
7993,71
8065,1
8067,5
8073,1
8075,5
8081,15
8097,95
8447,1
8543,1
8567,1
8574,2
8639,1
8670,2
8686,2
8694,2
8699,5
8831,1
8958,2
9023,1
9054,2
9070,2
9078,2
9083,5
9135,1
9150,2
9174,2
9180,4
9191,1
9197,3
9204,4
9210,6
9279,1
9327,1
9342,2
9407,1
9455,1
9470,2
9534,2
9566,2
9582,2
9590,2
9596,4
9662,2
9687,1
9693,3
9710,2
9718,2
9722,6
9775,1
9790,2
9823,1
9838,2
9854,2
9903,1
9918,2
9943,1
9951,1
9966,2
9973,1
9975,1
9981,3
10031,1
10046,2
10063,1
10069,1
10071,1
10077,3
10085,1
10087,1
10093,3
10101,3
10106,6
10143,1
10159,1
10167,1
10173,3
10181,1
10183,1
10187,1
10189,3
10193,1
10195,1
10197,3
10201,1
10203,5
10209,1
10211,1
10213,3
10217,1
10219,1
10221,3
10225,1
10227,5
10233,7
10367,1
10494,2
10590,2
10606,2
10614,2
10620,4
10686,2
10710,2
10716,4
10734,2
10740,4
10746,6
10878,2
10911,1
10943,1
10967,1
10973,3
10983,1
10989,1
10991,1
10997,3
11004,4
11070,2
11079,1
11085,1
11087,1
11093,3
11100,4
11109,1
11111,1
11117,3
11125,3
11130,6
11143,1
11151,1
11159,1
11166,2
11175,1
11183,1
11189,3
11195,1
11197,3
11203,1
11205,1
11207,1
11211,1
11213,3
11217,1
11219,1
11221,3
11225,7
11233,1
11235,1
11237,3
11241,1
11243,5
11249,7
11257,7
11311,1
11326,2
11359,1
11374,2
11390,2
11439,1
11454,2
11487,1
11502,2
11511,1
11518,2
11566,2
11582,2
11607,1
11614,2
11623,1
11630,2
11637,3
11642,6
11663,1
11679,1
11687,1
11694,2
11703,1
11710,2
11717,1
11719,1
11725,3
11733,3
11739,5
11749,3
11755,1
11757,3
11761,1
11763,5
11769,7
11807,1
11822,2
11838,2
11855,1
11861,1
11863,1
11869,3
11877,1
11879,1
11885,3
11893,1
11895,1
11899,1
11901,3
11927,1
11934,2
11950,2
11959,1
11963,1
11965,3
11973,1
11975,1
11979,1
11981,1
11983,1
11985,1
11987,1
11989,1
11991,1
11993,1
11995,1
11997,3
12001,1
12003,1
12005,1
12007,1
12009,1
12011,1
12013,3
12017,1
12019,5
12025,1
12027,5
12039,1
12047,1
12055,1
12061,1
12063,1
12071,1
12077,3
12085,1
12087,1
12091,1
12093,3
12097,1
12099,1
12101,3
12105,1
12107,1
12109,3
12113,1
12115,5
12121,1
12123,5
12129,1
12131,5
12137,1
12139,5
12145,1
12147,5
12153,7
12163,1
12165,3
12171,1
12173,3
12179,1
12181,3
12187,1
12189,3
12195,1
12197,3
12202,2
12205,3
12209,1
12211,1
12213,3
12217,7
12225,7
12233,7
12241,15
12257,31
12351,1
12398,2
12414,2
12479,1
12526,2
12542,2
12591,1
12606,2
12638,2
12654,2
12662,2
12667,5
12719,1
12734,2
12751,1
12757,3
12764,4
12773,1
12775,1
12781,3
12788,4
12794,6
12847,1
12862,2
12895,1
12910,2
12926,2
12975,1
12990,2
12999,1
13005,1
13007,1
13013,1
13015,1
13021,3
13029,1
13031,1
13037,3
13045,3
13050,6
13102,2
13118,2
13125,1
13127,1
13133,1
13135,1
13141,3
13147,5
13157,1
13159,1
13163,1
13165,3
13169,1
13171,1
13173,3
13177,7
13199,1
13205,1
13207,1
13213,3
13221,1
13223,1
13229,3
13237,3
13243,5
13249,1
13251,1
13253,3
13257,1
13259,5
13265,1
13267,5
13273,7
13281,1
13283,5
13289,7
13297,15
13327,1
13342,2
13358,2
13367,1
13371,1
13373,3
13390,2
13406,2
13414,2
13419,1
13421,3
13430,2
13434,6
13455,1
13470,2
13486,2
13495,1
13499,1
13501,3
13518,2
13527,1
13534,2
13542,2
13547,1
13549,3
13557,3
13562,6
13583,1
13598,2
13614,2
13622,2
13627,5
13639,1
13646,2
13653,1
13655,1
13661,3
13669,3
13674,6
13685,3
13690,6
13710,2
13726,2
13735,1
13742,2
13750,2
13754,6
13765,1
13767,1
13771,1
13773,3
13777,1
13779,1
13781,3
13785,1
13787,5
13793,1
13795,1
13797,3
13801,7
13809,1
13811,5
13817,7
13838,2
13854,2
13863,1
13869,3
13878,2
13882,6
13893,1
13895,1
13901,3
13909,1
13911,1
13915,1
13917,3
13925,3
13930,6
13939,1
13941,3
13946,6
13966,2
13975,1
13981,3
13991,1
13995,1
13997,3
14005,3
14010,6
14017,1
14019,1
14021,1
14023,1
14025,1
14027,1
14029,3
14033,1
14035,5
14041,1
14043,5
14049,1
14051,5
14057,7
14065,1
14067,5
14073,7
14087,1
14093,3
14101,1
14103,1
14109,3
14117,1
14119,1
14123,1
14125,3
14133,3
14138,6
14145,1
14147,5
14153,1
14155,5
14161,1
14163,5
14169,1
14171,5
14177,1
14179,5
14185,7
14193,1
14195,5
14201,7
14211,1
14213,1
14215,1
14219,1
14221,3
14225,1
14227,1
14229,3
14233,1
14235,1
14237,3
14241,1
14243,1
14245,3
14249,1
14251,1
14253,3
14257,1
14259,5
14265,7
14273,63
14383,1
14398,2
14431,1
14446,2
14462,2
14511,1
14526,2
14549,1
14551,1
