n,x,y,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1,1,1,1,100,0.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,220,0.055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,1,320,0.080,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,90,0.022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,190,0.047,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2,3,1,310,0.077,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,3,3,1,410,0.102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,1,400,0.100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,3,1,1,500,0.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,4,1,1,620,0.154,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,4,2,1,720,0.179,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,4,3,1,490,0.122,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,4,4,1,590,0.147,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,3,4,1,710,0.177,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,2,4,1,810,0.202,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16,1,4,1,300,0.075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,1,5,1,400,0.100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,2,5,1,520,0.130,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,3,5,1,620,0.154,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,4,5,1,390,0.097,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,5,5,1,490,0.122,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22,5,4,1,610,0.152,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
23,5,3,1,710,0.177,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
24,5,2,1,700,0.174,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25,5,1,1,800,0.199,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26,6,1,1,920,0.229,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
27,6,2,1,1020,0.254,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
28,6,3,1,790,0.197,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29,6,4,1,890,0.222,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30,6,5,1,1010,0.252,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,6,6,1,1110,0.276,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,5,6,1,400,0.100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,4,6,1,500,0.125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,3,6,1,620,0.154,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,2,6,1,720,0.179,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,1,6,1,490,0.122,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,1,7,1,590,0.147,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38,2,7,1,710,0.177,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
39,3,7,1,810,0.202,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
40,4,7,1,800,0.199,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
41,5,7,1,900,0.224,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
42,6,7,1,1020,0.254,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
43,7,7,1,1120,0.279,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
44,7,6,1,890,0.222,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
45,7,5,1,990,0.247,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
46,7,4,1,1110,0.276,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
47,7,3,1,1210,0.301,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
48,7,2,1,700,0.174,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
