n,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1,1,100,0.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,220,0.055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,320,0.080,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,90,0.022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1,190,0.047,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,310,0.077,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,1,410,0.102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,400,0.100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1,500,0.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,620,0.154,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1,720,0.179,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,490,0.122,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,1,590,0.147,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,1,710,0.177,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,1,810,0.202,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16,1,300,0.075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,1,400,0.100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1,520,0.130,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,1,620,0.154,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,390,0.097,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,1,490,0.122,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22,1,610,0.152,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
23,1,710,0.177,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
24,1,700,0.174,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25,1,800,0.199,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26,1,920,0.229,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
27,1,1020,0.254,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
28,1,790,0.197,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29,1,890,0.222,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30,1,1010,0.252,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,1,1110,0.276,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,1,400,0.100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,1,500,0.125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,1,620,0.154,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,1,720,0.179,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,1,490,0.122,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,1,590,0.147,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38,1,710,0.177,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
39,1,810,0.202,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
40,1,800,0.199,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
41,1,900,0.224,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
42,1,1020,0.254,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
43,1,1120,0.279,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
44,1,890,0.222,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
45,1,990,0.247,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
46,1,1110,0.276,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
47,1,1210,0.301,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
48,1,700,0.174,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
49,1,800,0.199,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50,1,920,0.229,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
51,1,1020,0.254,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
52,1,790,0.197,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
53,1,890,0.222,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
54,1,1010,0.252,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
55,1,1110,0.276,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
56,1,1100,0.274,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
57,1,1200,0.299,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
58,1,1320,0.329,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
59,1,1420,0.354,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
60,1,1190,0.296,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
61,1,1290,0.321,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
62,1,1410,0.351,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
63,1,1510,0.376,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
64,1,205,0.051,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,1,305,0.076,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,1,425,0.106,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
67,1,525,0.131,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
68,1,295,0.073,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,1,395,0.098,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
70,1,515,0.128,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
71,1,615,0.153,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
72,1,605,0.151,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
73,1,705,0.176,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
74,1,825,0.205,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
75,1,925,0.230,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
76,1,695,0.173,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
77,1,795,0.198,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
78,1,915,0.228,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
79,1,1015,0.253,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
80,1,505,0.126,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
81,1,605,0.151,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
82,1,725,0.181,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
83,1,825,0.205,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
84,1,595,0.148,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
85,1,695,0.173,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
86,1,815,0.203,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
87,1,915,0.228,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
88,1,905,0.225,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
89,1,1005,0.250,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
90,1,1125,0.280,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
91,1,1225,0.305,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
92,1,995,0.248,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
93,1,1095,0.273,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
94,1,1215,0.303,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
95,1,1315,0.328,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
96,1,605,0.151,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
97,1,705,0.176,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
98,1,825,0.205,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
99,1,925,0.230,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
100,1,695,0.173,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
101,1,795,0.198,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
102,1,915,0.228,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
103,1,1015,0.253,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
104,1,1005,0.250,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
105,1,1105,0.275,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
106,1,1225,0.305,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
107,1,1325,0.330,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
108,1,1095,0.273,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
109,1,1195,0.298,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
110,1,1315,0.328,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
111,1,1415,0.352,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
112,1,905,0.225,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
113,1,1005,0.250,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
114,1,1125,0.280,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
115,1,1225,0.305,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
116,1,995,0.248,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
117,1,1095,0.273,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
118,1,1215,0.303,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
119,1,1315,0.328,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
120,1,1305,0.325,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,1,1405,0.350,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,1,1525,0.380,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
123,1,1625,0.405,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
124,1,1395,0.347,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
125,1,1495,0.372,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
126,1,1615,0.402,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
127,1,1715,0.427,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
128,1,120,0.030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,1,220,0.055,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,1,340,0.085,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
131,1,440,0.110,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
