n,x,y,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,1,1,6001,0.069,1,0,0,0,0,0,0,0,0,0
2,2,1,1,3105,0.036,0,1,0,0,0,0,0,0,0,0
3,2,2,1,9106,0.105,1,1,0,0,0,0,0,0,0,0
4,1,2,1,18000,0.207,0,0,1,0,0,0,0,0,0,0
5,1,3,1,24001,0.276,1,0,1,0,0,0,0,0,0,0
6,2,3,1,21105,0.242,0,1,1,0,0,0,0,0,0,0
7,3,3,1,27106,0.311,1,1,1,0,0,0,0,0,0,0
8,3,2,1,38500,0.442,0,0,0,1,0,0,0,0,0,0
9,3,1,1,44501,0.511,1,0,0,1,0,0,0,0,0,0
10,4,1,1,41605,0.478,0,1,0,1,0,0,0,0,0,0
11,4,2,1,47606,0.547,1,1,0,1,0,0,0,0,0,0
12,4,3,1,56500,0.649,0,0,1,1,0,0,0,0,0,0
13,4,4,0,62501,0.718,1,0,1,1,0,0,0,0,0,0
14,3,4,1,59605,0.685,0,1,1,1,0,0,0,0,0,0
15,2,4,0,65606,0.754,1,1,1,1,0,0,0,0,0,0
16,1,4,1,186,0.002,0,0,0,0,1,0,0,0,0,0
17,1,5,1,6187,0.071,1,0,0,0,1,0,0,0,0,0
18,2,5,1,3291,0.038,0,1,0,0,1,0,0,0,0,0
19,3,5,1,9292,0.107,1,1,0,0,1,0,0,0,0,0
20,4,5,1,18186,0.209,0,0,1,0,1,0,0,0,0,0
21,5,5,1,24187,0.278,1,0,1,0,1,0,0,0,0,0
22,5,4,1,21291,0.245,0,1,1,0,1,0,0,0,0,0
23,5,3,1,27292,0.313,1,1,1,0,1,0,0,0,0,0
24,5,2,1,38686,0.444,0,0,0,1,1,0,0,0,0,0
25,5,1,1,44687,0.513,1,0,0,1,1,0,0,0,0,0
26,6,1,1,41791,0.480,0,1,0,1,1,0,0,0,0,0
27,6,2,1,47792,0.549,1,1,0,1,1,0,0,0,0,0
28,6,3,1,56686,0.651,0,0,1,1,1,0,0,0,0,0
29,6,4,0,62687,0.720,1,0,1,1,1,0,0,0,0,0
30,6,5,1,59791,0.687,0,1,1,1,1,0,0,0,0,0
31,6,6,0,65792,0.756,1,1,1,1,1,0,0,0,0,0
32,5,6,1,1987,0.023,0,0,0,0,0,1,0,0,0,0
33,4,6,1,7988,0.092,1,0,0,0,0,1,0,0,0,0
34,3,6,1,5092,0.058,0,1,0,0,0,1,0,0,0,0
35,2,6,1,11093,0.127,1,1,0,0,0,1,0,0,0,0
36,1,6,1,19987,0.230,0,0,1,0,0,1,0,0,0,0
37,1,7,1,25988,0.299,1,0,1,0,0,1,0,0,0,0
38,2,7,1,23092,0.265,0,1,1,0,0,1,0,0,0,0
39,3,7,1,29093,0.334,1,1,1,0,0,1,0,0,0,0
40,4,7,1,40487,0.465,0,0,0,1,0,1,0,0,0,0
41,5,7,1,46488,0.534,1,0,0,1,0,1,0,0,0,0
42,6,7,1,43592,0.501,0,1,0,1,0,1,0,0,0,0
43,7,7,1,49593,0.570,1,1,0,1,0,1,0,0,0,0
44,7,6,1,58487,0.672,0,0,1,1,0,1,0,0,0,0
45,7,5,0,64488,0.741,1,0,1,1,0,1,0,0,0,0
46,7,4,1,61592,0.707,0,1,1,1,0,1,0,0,0,0
47,7,3,0,67593,0.776,1,1,1,1,0,1,0,0,0,0
48,7,2,1,2173,0.025,0,0,0,0,1,1,0,0,0,0
49,7,1,1,8174,0.094,1,0,0,0,1,1,0,0,0,0
50,8,1,1,5278,0.061,0,1,0,0,1,1,0,0,0,0
51,8,2,1,11279,0.130,1,1,0,0,1,1,0,0,0,0
52,8,3,1,20173,0.232,0,0,1,0,1,1,0,0,0,0
53,8,4,1,26174,0.301,1,0,1,0,1,1,0,0,0,0
54,8,5,1,23278,0.267,0,1,1,0,1,1,0,0,0,0
55,8,6,1,29279,0.336,1,1,1,0,1,1,0,0,0,0
56,8,7,1,40673,0.467,0,0,0,1,1,1,0,0,0,0
57,8,8,1,46674,0.536,1,0,0,1,1,1,0,0,0,0
58,7,8,1,43778,0.503,0,1,0,1,1,1,0,0,0,0
59,6,8,1,49779,0.572,1,1,0,1,1,1,0,0,0,0
60,5,8,1,58673,0.674,0,0,1,1,1,1,0,0,0,0
61,4,8,0,64674,0.743,1,0,1,1,1,1,0,0,0,0
62,3,8,1,61778,0.710,0,1,1,1,1,1,0,0,0,0
63,2,8,0,67779,0.779,1,1,1,1,1,1,0,0,0,0
64,1,8,1,8820,0.101,0,0,0,0,0,0,1,0,0,0
65,1,9,1,14821,0.170,1,0,0,0,0,0,1,0,0,0
66,2,9,1,11925,0.137,0,1,0,0,0,0,1,0,0,0
67,3,9,1,17926,0.206,1,1,0,0,0,0,1,0,0,0
68,4,9,1,26820,0.308,0,0,1,0,0,0,1,0,0,0
69,5,9,1,32821,0.377,1,0,1,0,0,0,1,0,0,0
70,6,9,1,29925,0.344,0,1,1,0,0,0,1,0,0,0
71,7,9,1,35926,0.413,1,1,1,0,0,0,1,0,0,0
72,8,9,1,47320,0.544,0,0,0,1,0,0,1,0,0,0
73,9,9,1,53321,0.612,1,0,0,1,0,0,1,0,0,0
74,9,8,1,50425,0.579,0,1,0,1,0,0,1,0,0,0
75,9,7,1,56426,0.648,1,1,0,1,0,0,1,0,0,0
76,9,6,1,65320,0.750,0,0,1,1,0,0,1,0,0,0
77,9,5,0,71321,0.819,1,0,1,1,0,0,1,0,0,0
78,9,4,1,68425,0.786,0,1,1,1,0,0,1,0,0,0
79,9,3,0,74426,0.855,1,1,1,1,0,0,1,0,0,0
80,9,2,1,9006,0.103,0,0,0,0,1,0,1,0,0,0
81,9,1,1,15007,0.172,1,0,0,0,1,0,1,0,0,0
82,10,1,1,12111,0.139,0,1,0,0,1,0,1,0,0,0
83,10,2,1,18112,0.208,1,1,0,0,1,0,1,0,0,0
84,10,3,1,27006,0.310,0,0,1,0,1,0,1,0,0,0
85,10,4,1,33007,0.379,1,0,1,0,1,0,1,0,0,0
86,10,5,1,30111,0.346,0,1,1,0,1,0,1,0,0,0
87,10,6,1,36112,0.415,1,1,1,0,1,0,1,0,0,0
88,10,7,1,47506,0.546,0,0,0,1,1,0,1,0,0,0
89,10,8,1,53507,0.615,1,0,0,1,1,0,1,0,0,0
90,10,9,1,50611,0.581,0,1,0,1,1,0,1,0,0,0
91,10,10,1,56612,0.650,1,1,0,1,1,0,1,0,0,0
92,9,10,1,65506,0.752,0,0,1,1,1,0,1,0,0,0
93,8,10,0,71507,0.821,1,0,1,1,1,0,1,0,0,0
94,7,10,1,68611,0.788,0,1,1,1,1,0,1,0,0,0
95,6,10,0,74612,0.857,1,1,1,1,1,0,1,0,0,0
96,5,10,1,10807,0.124,0,0,0,0,0,1,1,0,0,0
97,4,10,1,16808,0.193,1,0,0,0,0,1,1,0,0,0
98,3,10,1,13912,0.160,0,1,0,0,0,1,1,0,0,0
99,2,10,1,19913,0.229,1,1,0,0,0,1,1,0,0,0
100,1,10,1,28807,0.331,0,0,1,0,0,1,1,0,0,0
101,1,11,1,34808,0.400,1,0,1,0,0,1,1,0,0,0
102,2,11,1,31912,0.367,0,1,1,0,0,1,1,0,0,0
103,3,11,1,37913,0.435,1,1,1,0,0,1,1,0,0,0
104,4,11,1,49307,0.566,0,0,0,1,0,1,1,0,0,0
105,5,11,1,55308,0.635,1,0,0,1,0,1,1,0,0,0
106,6,11,1,52412,0.602,0,1,0,1,0,1,1,0,0,0
107,7,11,1,58413,0.671,1,1,0,1,0,1,1,0,0,0
108,8,11,1,67307,0.773,0,0,1,1,0,1,1,0,0,0
109,9,11,0,73308,0.842,1,0,1,1,0,1,1,0,0,0
110,10,11,1,70412,0.809,0,1,1,1,0,1,1,0,0,0
111,11,11,0,76413,0.878,1,1,1,1,0,1,1,0,0,0
112,11,10,1,10993,0.126,0,0,0,0,1,1,1,0,0,0
113,11,9,1,16994,0.195,1,0,0,0,1,1,1,0,0,0
114,11,8,1,14098,0.162,0,1,0,0,1,1,1,0,0,0
115,11,7,1,20099,0.231,1,1,0,0,1,1,1,0,0,0
116,11,6,1,28993,0.333,0,0,1,0,1,1,1,0,0,0
117,11,5,1,34994,0.402,1,0,1,0,1,1,1,0,0,0
118,11,4,1,32098,0.369,0,1,1,0,1,1,1,0,0,0
119,11,3,1,38099,0.438,1,1,1,0,1,1,1,0,0,0
120,11,2,1,49493,0.568,0,0,0,1,1,1,1,0,0,0
121,11,1,1,55494,0.637,1,0,0,1,1,1,1,0,0,0
122,12,1,1,52598,0.604,0,1,0,1,1,1,1,0,0,0
123,12,2,1,58599,0.673,1,1,0,1,1,1,1,0,0,0
124,12,3,1,67493,0.775,0,0,1,1,1,1,1,0,0,0
125,12,4,0,73494,0.844,1,0,1,1,1,1,1,0,0,0
126,12,5,1,70598,0.811,0,1,1,1,1,1,1,0,0,0
127,12,6,0,76599,0.880,1,1,1,1,1,1,1,0,0,0
128,12,7,1,42000,0.482,0,0,0,0,0,0,0,1,0,0
129,12,8,1,48001,0.551,1,0,0,0,0,0,0,1,0,0
130,12,9,1,45105,0.518,0,1,0,0,0,0,0,1,0,0
131,12,10,1,51106,0.587,1,1,0,0,0,0,0,1,0,0
132,12,11,1,60000,0.689,0,0,1,0,0,0,0,1,0,0
133,12,12,1,66001,0.758,1,0,1,0,0,0,0,1,0,0
