n,x,y,f,rel
1,1,1,1,0.025
2,2,1,1,0.055
3,2,2,1,0.080
4,1,2,1,0.022
5,1,3,1,0.047
6,2,3,1,0.077
7,3,3,1,0.102
8,3,2,1,0.100
9,3,1,1,0.125
10,4,1,1,0.154
11,4,2,1,0.179
12,4,3,1,0.122
13,4,4,1,0.147
14,3,4,1,0.177
15,2,4,1,0.202
16,1,4,1,0.075
17,1,5,1,0.100
18,2,5,1,0.130
19,3,5,1,0.154
20,4,5,1,0.097
21,5,5,1,0.122
22,5,4,1,0.152
23,5,3,1,0.177
24,5,2,1,0.174
25,5,1,1,0.199
26,6,1,1,0.229
27,6,2,1,0.254
28,6,3,1,0.197
29,6,4,1,0.222
30,6,5,1,0.252
31,6,6,1,0.276
32,5,6,1,0.100
33,4,6,1,0.125
34,3,6,1,0.154
35,2,6,1,0.179
36,1,6,1,0.122
37,1,7,1,0.147
38,2,7,1,0.177
39,3,7,1,0.202
40,4,7,1,0.199
41,5,7,1,0.224
42,6,7,1,0.254
43,7,7,1,0.279
44,7,6,1,0.222
45,7,5,1,0.247
46,7,4,1,0.276
47,7,3,1,0.301
48,7,2,1,0.174
49,7,1,1,0.199
50,8,1,1,0.229
51,8,2,1,0.254
52,8,3,1,0.197
53,8,4,1,0.222
54,8,5,1,0.252
55,8,6,1,0.276
56,8,7,1,0.274
57,8,8,1,0.299
58,7,8,1,0.329
59,6,8,1,0.354
60,5,8,1,0.296
61,4,8,1,0.321
62,3,8,1,0.351
63,2,8,1,0.376
64,1,8,1,0.051
65,1,9,1,0.076
66,2,9,1,0.106
67,3,9,1,0.131
68,4,9,1,0.073
69,5,9,1,0.098
70,6,9,1,0.128
71,7,9,1,0.153
72,8,9,1,0.151
73,9,9,1,0.176
74,9,8,1,0.205
75,9,7,1,0.230
76,9,6,1,0.173
77,9,5,1,0.198
78,9,4,1,0.228
79,9,3,1,0.253
80,9,2,1,0.126
81,9,1,1,0.151
82,10,1,1,0.181
83,10,2,1,0.205
84,10,3,1,0.148
85,10,4,1,0.173
86,10,5,1,0.203
87,10,6,1,0.228
88,10,7,1,0.225
89,10,8,1,0.250
90,10,9,1,0.280
91,10,10,1,0.305
92,9,10,1,0.248
93,8,10,1,0.273
94,7,10,1,0.303
95,6,10,1,0.328
96,5,10,1,0.151
97,4,10,1,0.176
98,3,10,1,0.205
99,2,10,1,0.230
100,1,10,1,0.173
101,1,11,1,0.198
102,2,11,1,0.228
103,3,11,1,0.253
104,4,11,1,0.250
105,5,11,1,0.275
106,6,11,1,0.305
107,7,11,1,0.330
108,8,11,1,0.273
109,9,11,1,0.298
110,10,11,1,0.328
111,11,11,1,0.352
112,11,10,1,0.225
113,11,9,1,0.250
114,11,8,1,0.280
115,11,7,1,0.305
116,11,6,1,0.248
117,11,5,1,0.273
118,11,4,1,0.303
119,11,3,1,0.328
120,11,2,1,0.325
121,11,1,1,0.350
122,12,1,1,0.380
123,12,2,1,0.405
124,12,3,1,0.347
125,12,4,1,0.372
126,12,5,1,0.402
127,12,6,1,0.427
128,12,7,1,0.030
129,12,8,1,0.055
130,12,9,1,0.085
131,12,10,1,0.110
132,12,11,1,0.052
133,12,12,1,0.077
134,11,12,1,0.107
135,10,12,1,0.132
136,9,12,1,0.130
137,8,12,1,0.154
138,7,12,1,0.184
139,6,12,1,0.209
140,5,12,1,0.152
141,4,12,1,0.177
142,3,12,1,0.207
143,2,12,1,0.232
144,1,12,1,0.105
145,1,13,1,0.130
146,2,13,1,0.159
147,3,13,1,0.184
148,4,13,1,0.127
149,5,13,1,0.152
150,6,13,1,0.182
151,7,13,1,0.207
152,8,13,1,0.204
153,9,13,1,0.229
154,10,13,1,0.259
155,11,13,1,0.284
156,12,13,1,0.227
157,13,13,1,0.252
158,13,12,1,0.281
159,13,11,1,0.306
160,13,10,1,0.130
161,13,9,1,0.154
162,13,8,1,0.184
163,13,7,1,0.209
164,13,6,1,0.152
165,13,5,1,0.177
166,13,4,1,0.207
167,13,3,1,0.232
168,13,2,1,0.229
169,13,1,1,0.254
170,14,1,1,0.284
171,14,2,1,0.309
172,14,3,1,0.252
173,14,4,1,0.276
174,14,5,1,0.306
175,14,6,1,0.331
176,14,7,1,0.204
177,14,8,1,0.229
178,14,9,1,0.259
179,14,10,1,0.284
180,14,11,1,0.227
181,14,12,1,0.252
182,14,13,1,0.281
183,14,14,1,0.306
184,13,14,1,0.304
185,12,14,1,0.329
186,11,14,1,0.359
187,10,14,1,0.384
188,9,14,1,0.326
189,8,14,1,0.351
190,7,14,1,0.381
191,6,14,1,0.406
192,5,14,1,0.081
193,4,14,1,0.106
194,3,14,1,0.136
195,2,14,1,0.161
196,1,14,1,0.103
197,1,15,1,0.128
198,2,15,1,0.158
199,3,15,1,0.183
200,4,15,1,0.181
201,5,15,1,0.205
202,6,15,1,0.235
203,7,15,1,0.260
204,8,15,1,0.203
205,9,15,1,0.228
206,10,15,1,0.258
207,11,15,1,0.283
208,12,15,1,0.156
209,13,15,1,0.181
210,14,15,1,0.210
211,15,15,1,0.235
212,15,14,1,0.178
213,15,13,1,0.203
214,15,12,1,0.233
215,15,11,1,0.258
216,15,10,1,0.255
217,15,9,1,0.280
218,15,8,1,0.310
219,15,7,1,0.335
220,15,6,1,0.278
221,15,5,1,0.303
222,15,4,1,0.333
223,15,3,1,0.357
224,15,2,1,0.181
225,15,1,1,0.205
226,16,1,1,0.235
227,16,2,1,0.260
228,16,3,1,0.203
229,16,4,1,0.228
230,16,5,1,0.258
231,16,6,1,0.283
232,16,7,1,0.280
233,16,8,1,0.305
234,16,9,1,0.335
235,16,10,1,0.360
236,16,11,1,0.303
237,16,12,1,0.328
238,16,13,1,0.357
239,16,14,1,0.382
240,16,15,1,0.255
241,16,16,1,0.280
242,15,16,1,0.310
243,14,16,1,0.335
244,13,16,1,0.278
245,12,16,1,0.303
246,11,16,1,0.333
247,10,16,1,0.357
248,9,16,1,0.355
249,8,16,1,0.380
250,7,16,1,0.410
251,6,16,1,0.435
252,5,16,1,0.377
253,4,16,1,0.402
254,3,16,1,0.432
255,2,16,1,0.457
256,1,16,1,0.040
257,1,17,1,0.065
258,2,17,1,0.095
259,3,17,1,0.120
260,4,17,1,0.062
261,5,17,1,0.087
262,6,17,1,0.117
263,7,17,1,0.142
264,8,17,1,0.139
265,9,17,1,0.164
266,10,17,1,0.194
267,11,17,1,0.219
268,12,17,1,0.162
269,13,17,1,0.187
270,14,17,1,0.217
271,15,17,1,0.242
272,16,17,1,0.115
273,17,17,1,0.139
274,17,16,1,0.169
275,17,15,1,0.194
276,17,14,1,0.137
277,17,13,1,0.162
278,17,12,1,0.192
279,17,11,1,0.217
280,17,10,1,0.214
281,17,9,1,0.239
282,17,8,1,0.269
283,17,7,1,0.294
284,17,6,1,0.237
285,17,5,1,0.262
286,17,4,1,0.291
287,17,3,1,0.316
288,17,2,1,0.139
289,17,1,1,0.164
290,18,1,1,0.194
291,18,2,1,0.219
292,18,3,1,0.162
293,18,4,1,0.187
294,18,5,1,0.217
295,18,6,1,0.242
296,18,7,1,0.239
297,18,8,1,0.264
298,18,9,1,0.294
299,18,10,1,0.319
300,18,11,1,0.262
301,18,12,1,0.286
302,18,13,1,0.316
303,18,14,1,0.341
304,18,15,1,0.214
305,18,16,1,0.239
306,18,17,1,0.269
307,18,18,1,0.294
308,17,18,1,0.237
309,16,18,1,0.262
310,15,18,1,0.291
311,14,18,1,0.316
312,13,18,1,0.314
313,12,18,1,0.339
314,11,18,1,0.369
315,10,18,1,0.394
316,9,18,1,0.336
317,8,18,1,0.361
318,7,18,1,0.391
319,6,18,1,0.416
320,5,18,1,0.091
321,4,18,1,0.116
322,3,18,1,0.146
323,2,18,1,0.171
324,1,18,1,0.113
325,1,19,1,0.138
326,2,19,1,0.168
327,3,19,1,0.193
328,4,19,1,0.191
329,5,19,1,0.215
330,6,19,1,0.245
331,7,19,1,0.270
332,8,19,1,0.213
333,9,19,1,0.238
334,10,19,1,0.268
335,11,19,1,0.293
336,12,19,1,0.166
337,13,19,1,0.191
338,14,19,1,0.220
339,15,19,1,0.245
340,16,19,1,0.188
341,17,19,1,0.213
342,18,19,1,0.243
343,19,19,1,0.268
344,19,18,1,0.265
345,19,17,1,0.290
346,19,16,1,0.320
347,19,15,1,0.345
348,19,14,1,0.288
349,19,13,1,0.313
350,19,12,1,0.342
351,19,11,1,0.367
352,19,10,1,0.191
353,19,9,1,0.215
354,19,8,1,0.245
355,19,7,1,0.270
356,19,6,1,0.213
357,19,5,1,0.238
358,19,4,1,0.268
359,19,3,1,0.293
360,19,2,1,0.290
361,19,1,1,0.315
362,20,1,1,0.345
363,20,2,1,0.370
364,20,3,1,0.313
365,20,4,1,0.337
366,20,5,1,0.367
367,20,6,1,0.392
368,20,7,1,0.265
369,20,8,1,0.290
370,20,9,1,0.320
371,20,10,1,0.345
372,20,11,1,0.288
373,20,12,1,0.313
374,20,13,1,0.342
375,20,14,1,0.367
376,20,15,1,0.365
377,20,16,1,0.390
378,20,17,1,0.420
379,20,18,1,0.445
380,20,19,1,0.387
381,20,20,1,0.412
382,19,20,1,0.442
383,18,20,1,0.467
384,17,20,1,0.070
385,16,20,1,0.095
386,15,20,1,0.125
387,14,20,1,0.149
388,13,20,1,0.092
389,12,20,1,0.117
390,11,20,1,0.147
391,10,20,1,0.172
392,9,20,1,0.169
393,8,20,1,0.194
394,7,20,1,0.224
395,6,20,1,0.249
396,5,20,1,0.192
397,4,20,1,0.217
398,3,20,1,0.247
399,2,20,1,0.271
400,1,20,1,0.144
401,1,21,1,0.169
402,2,21,1,0.199
403,3,21,1,0.224
404,4,21,1,0.167
405,5,21,1,0.192
406,6,21,1,0.222
407,7,21,1,0.247
408,8,21,1,0.244
409,9,21,1,0.269
410,10,21,1,0.299
411,11,21,1,0.324
412,12,21,1,0.267
413,13,21,1,0.291
414,14,21,1,0.321
415,15,21,1,0.346
416,16,21,1,0.169
417,17,21,1,0.194
418,18,21,1,0.224
419,19,21,1,0.249
420,20,21,1,0.192
421,21,21,1,0.217
422,21,20,1,0.247
423,21,19,1,0.271
424,21,18,1,0.269
425,21,17,1,0.294
426,21,16,1,0.324
427,21,15,1,0.349
428,21,14,1,0.291
429,21,13,1,0.316
430,21,12,1,0.346
431,21,11,1,0.371
432,21,10,1,0.244
433,21,9,1,0.269
434,21,8,1,0.299
435,21,7,1,0.324
436,21,6,1,0.267
437,21,5,1,0.291
438,21,4,1,0.321
439,21,3,1,0.346
440,21,2,1,0.344
441,21,1,1,0.369
442,22,1,1,0.399
443,22,2,1,0.423
444,22,3,1,0.366
445,22,4,1,0.391
446,22,5,1,0.421
447,22,6,1,0.446
448,22,7,1,0.121
449,22,8,1,0.146
450,22,9,1,0.176
451,22,10,1,0.200
452,22,11,1,0.143
453,22,12,1,0.168
454,22,13,1,0.198
455,22,14,1,0.223
456,22,15,1,0.220
457,22,16,1,0.245
458,22,17,1,0.275
459,22,18,1,0.300
460,22,19,1,0.243
461,22,20,1,0.268
462,22,21,1,0.298
463,22,22,1,0.323
464,21,22,1,0.196
465,20,22,1,0.220
466,19,22,1,0.250
467,18,22,1,0.275
468,17,22,1,0.218
469,16,22,1,0.243
470,15,22,1,0.273
471,14,22,1,0.298
472,13,22,1,0.295
473,12,22,1,0.320
474,11,22,1,0.350
475,10,22,1,0.375
476,9,22,1,0.318
477,8,22,1,0.342
478,7,22,1,0.372
479,6,22,1,0.397
480,5,22,1,0.220
481,4,22,1,0.245
482,3,22,1,0.275
483,2,22,1,0.300
484,1,22,1,0.243
485,1,23,1,0.268
486,2,23,1,0.298
487,3,23,1,0.323
488,4,23,1,0.320
489,5,23,1,0.345
490,6,23,1,0.375
491,7,23,1,0.400
492,8,23,1,0.342
493,9,23,1,0.367
494,10,23,1,0.397
495,11,23,1,0.422
496,12,23,1,0.295
497,13,23,1,0.320
498,14,23,1,0.350
499,15,23,1,0.375
500,16,23,1,0.318
501,17,23,1,0.342
502,18,23,1,0.372
